Date,Hour,Load
20170126,23:00,11998.24
20170127,0:00,11306.26
20170127,1:00,10901.82
20170127,2:00,10718.83
20170127,3:00,10716.7
20170127,4:00,11060.19
20170127,5:00,12102.68
20170127,6:00,13904.62
20170127,7:00,14888.69
20170127,8:00,15026.95
20170127,9:00,15001.39
20170127,10:00,14983.23
20170127,11:00,14874.11
20170127,12:00,14732.86
20170127,13:00,14739.24
20170127,14:00,14691
20170127,15:00,14838.6
20170127,16:00,15435.22
20170127,17:00,16250.67
20170127,18:00,16079.61
20170127,19:00,15603.92
20170127,20:00,15056.58
20170127,21:00,14302.38
20170127,22:00,13319.76
20170127,23:00,12347.04
20170128,0:00,11624.26
20170128,1:00,11176.69
20170128,2:00,10934.22
20170128,3:00,10866.33
20170128,4:00,10976.18
20170128,5:00,11388.24
20170128,6:00,12174.62
20170128,7:00,12874.87
20170128,8:00,13539.18
20170128,9:00,13877.21
20170128,10:00,13968.91
20170128,11:00,14049.72
20170128,12:00,14029.53
20170128,13:00,13959.21
20170128,14:00,13948.54
20170128,15:00,14052.61
20170128,16:00,14567.32
20170128,17:00,15445.01
20170128,18:00,15381.31
20170128,19:00,14954.83
20170128,20:00,14465.04
20170128,21:00,13845
20170128,22:00,13031.93
20170128,23:00,12175.01
20170129,0:00,11525.26
20170129,1:00,11121.76
20170129,2:00,10895.07
20170129,3:00,10804.83
20170129,4:00,10868.22
20170129,5:00,11142.31
20170129,6:00,11664.11
20170129,7:00,12241.31
20170129,8:00,12878.84
20170129,9:00,13219.63
20170129,10:00,13320.61
20170129,11:00,13379.7
20170129,12:00,13518.68
20170129,13:00,13518.83
20170129,14:00,13488.42
20170129,15:00,13701.82
20170129,16:00,14437.12
20170129,17:00,15723.13
20170129,18:00,15891.1
20170129,19:00,15513.05
20170129,20:00,14940.4
20170129,21:00,14039.81
20170129,22:00,12986.86
20170129,23:00,12044.87
20170130,0:00,11475.45
20170130,1:00,11200.52
20170130,2:00,11134.92
20170130,3:00,11231.13
20170130,4:00,11673.7
20170130,5:00,12849.22
20170130,6:00,14793.6
20170130,7:00,15780.98
20170130,8:00,15833.99
20170130,9:00,15645.56
20170130,10:00,15377.15
20170130,11:00,15239.94
20170130,12:00,15169.95
20170130,13:00,15091.07
20170130,14:00,14979.24
20170130,15:00,15172.23
20170130,16:00,15900.61
20170130,17:00,17224.83
20170130,18:00,17404.82
20170130,19:00,16996.37
20170130,20:00,16379.99
20170130,21:00,15344.92
20170130,22:00,14110.31
20170130,23:00,13076.57
20170131,0:00,12480.13
20170131,1:00,12176.69
20170131,2:00,12084.34
20170131,3:00,12165.49
20170131,4:00,12592.36
20170131,5:00,13749.24
20170131,6:00,15669.89
20170131,7:00,16552.37
20170131,8:00,16344.34
20170131,9:00,16042.42
20170131,10:00,15982.84
20170131,11:00,16083.51
20170131,12:00,16122.55
20170131,13:00,16230.28
20170131,14:00,16225.09
20170131,15:00,16347.28
20170131,16:00,16886.48
20170131,17:00,17990.68
20170131,18:00,18004.49
20170131,19:00,17476.81
20170131,20:00,16680.62
20170131,21:00,15536.8
20170131,22:00,14180.96
20170131,23:00,13053.58
